The Twitter Tweet,"The Sentiment(Positive,Negative, or Neutral)",The Sentiment Score
"JustinWWaldrop Thats great to hear As for the Your Phone app, its currently available with Androidbased phones Will you be trying it?",Negative,-6
Adi735 Sounds great Let us know what the results are,Negative,-5
"cris_midnight Okay, understood What is the make and model of your PC?",Negative,-3
"BBexio We completely understand To start with, are you looking for a desktop or a laptop?",Negative,-3
"Qwecky Okay, understood Wed like to start with a Network troubleshooter, found here tco/YdJzoy21f5",Negative,-4
"hantaayame Perfect Lastly, what would you say your ideal budget is?",Negative,-2
"SvenDaHacker64 Ah, we got it Thanks for taking the time to talk with us about your experience, Sven 💙",Negative,-5
"declaa Ah, were fans too Thanks for taking the time to chat with us Declan",Negative,-6
"hantaayame Sounds great So probably a desktop, not a laptop, right?",Negative,-4
"marinkruz Okay, gotcha Are you able to use this troubleshooter to assess this? tco/yn0YIoT1ro",Negative,-1
"ForeverAfter304 Ah, we see Are you ever into racing games? Forza Horizon 4 is fresh off the press tco/PSUbO7fuSt",Negative,-1
"Cross over into autumn with bridges bathed in the reds, golds, corals, and greens of fall See in a new season with… tco/uL4ln4PlHn",Negative,-3
"Strider_tan Ah, gotcha Thanks for getting back to us How has the rest of your Windows experience been lately?",Negative,-6
"Koezo123 Were here to help, Deniz What can we answer for you today?",Neutral,0
hantaayame We’d love to help you pick out just the right device What do you need a new PC to do?,Negative,-3
EncodedVoid Hello Can you share with us what makes you feel this way? Were here to help,Negative,-1
VelvetTheUgly Hello Are you still having issues with your PC today? Were here to help,Negative,-1
"ForeverAfter304 Hi, there Wed be happy to send over some recommendations What kind of PC games are you into?",Negative,-4
TCurvez Hey We wanted to check in What kind of gaming PC did you end up getting?,Neutral,0
"tsubasazynki Hi, there Are you seeing any kind of error code or message when this happens? Perhaps we can help",Negative,-2
"yodeI Hi, Avi Are you still seeing this error today? Wed love to help",Negative,-1
"samcswong Hey, Sam Were glad you noticed Have any other improvements been catching your eye?",Negative,-2
"Strider_tan Hey, there Wed love to learn more about this When did this start?",Negative,-3
"KaleanaC Hi, Kale Can you share with us what makes you feel this way? Wed love to help",Negative,-2
"ToryShelby Hello, Tory Thanks for your patience with this What caused these reboots?",Negative,-4
"spolive Hello, Samuel Which ribbons are you looking for in particular? Wed love to help",Negative,-3
"lindhartsen Hey, Chris How long have you been seeing this? Wed love to learn more",Negative,-2
"Steadys_ Hello, Isaac How can we help you today?",Positive,2
DragonXVI Hello Can you share more with us about the issues youre having now? Perhaps we can help,Negative,-1
"Distonikk Thanks for your patience with the update, Alexis Can you share with us how your PC is running for you?",Negative,-6
"sugarcoatedanne Hi, Annie Can you share with us what makes you feel this way? Wed love to help",Negative,-2
"WeebleSpleen Hello, there Are you still seeing these issues? Wed love to help",Negative,-2
